# time,ax,ay,az,gx,gy,gz,temperature
0.000000000000000000e+00,-8.747558593750000000e-01,-5.458984375000000000e-01,-2.973632812500000000e-01,-2.451219512195122263e+01,1.018292682926829329e+01,-9.774390243902439579e+01,2.133000000000000185e+01
1.000000000000000021e-02,-8.835449218750000000e-01,-5.588378906250000000e-01,-3.007812500000000000e-01,-2.225609756097561132e+01,3.841463414634146645e+00,-9.993902439024391526e+01,2.133000000000000185e+01
2.000000000000000042e-02,-8.901367187500000000e-01,-5.673828125000000000e-01,-2.885742187500000000e-01,-1.951219512195122263e+01,-1.707317073170731891e+00,-1.018292682926829400e+02,2.123588235294117510e+01
2.999999999999999889e-02,-8.723144531250000000e-01,-5.744628906250000000e-01,-2.878417968750000000e-01,-1.615853658536585513e+01,-7.256097560975610428e+00,-1.029268292682926926e+02,2.133000000000000185e+01
4.000000000000000083e-02,-8.395996093750000000e-01,-5.664062500000000000e-01,-2.817382812500000000e-01,-1.286585365853658658e+01,-1.079268292682926855e+01,-1.029268292682926926e+02,2.133000000000000185e+01
5.000000000000000278e-02,-7.971191406250000000e-01,-5.634765625000000000e-01,-2.766113281250000000e-01,-1.012195121951219612e+01,-1.243902439024390283e+01,-1.016463414634146432e+02,2.128294117647059025e+01
5.999999999999999778e-02,-7.687988281250000000e-01,-5.561523437500000000e-01,-2.719726562500000000e-01,-7.743902439024391349e+00,-1.298780487804878092e+01,-9.963414634146342053e+01,2.142411764705882504e+01
7.000000000000000666e-02,-7.680664062500000000e-01,-5.622558593750000000e-01,-2.780761718750000000e-01,-5.487804878048780921e+00,-1.341463414634146467e+01,-9.762195121951219789e+01,2.133000000000000185e+01
8.000000000000000167e-02,-7.792968750000000000e-01,-5.627441406250000000e-01,-2.658691406250000000e-01,-3.475609756097561398e+00,-1.390243902439024559e+01,-9.554878048780489053e+01,2.142411764705882504e+01
8.999999999999999667e-02,-7.993164062500000000e-01,-5.732421875000000000e-01,-2.639160156250000000e-01,-1.524390243902439046e+00,-1.500000000000000178e+01,-9.365853658536586579e+01,2.142411764705882504e+01
1.000000000000000056e-01,-8.198242187500000000e-01,-5.676269531250000000e-01,-2.724609375000000000e-01,6.707317073170732113e-01,-1.670731707317073145e+01,-9.207317073170732158e+01,2.137705882352941344e+01
1.100000000000000006e-01,-8.435058593750000000e-01,-5.810546875000000000e-01,-2.883300781250000000e-01,3.353658536585366168e+00,-2.000000000000000000e+01,-9.109756097560976684e+01,2.128294117647059025e+01
1.199999999999999956e-01,-8.515625000000000000e-01,-5.903320312500000000e-01,-2.866210937500000000e-01,6.341463414634146645e+00,-2.347560975609756184e+01,-8.993902439024391526e+01,2.133000000000000185e+01
1.300000000000000044e-01,-8.278808593750000000e-01,-5.771484375000000000e-01,-2.878417968750000000e-01,9.329268292682927566e+00,-2.707317073170731803e+01,-8.847560975609756895e+01,2.133000000000000185e+01
1.400000000000000133e-01,-7.910156250000000000e-01,-5.688476562500000000e-01,-2.929687500000000000e-01,1.237804878048780566e+01,-3.060975609756097882e+01,-8.652439024390244526e+01,2.128294117647059025e+01
1.499999999999999944e-01,-7.236328125000000000e-01,-5.642089843750000000e-01,-2.836914062500000000e-01,1.451219512195122086e+01,-3.213414634146342053e+01,-8.304878048780489053e+01,2.133000000000000185e+01
1.600000000000000033e-01,-6.604003906250000000e-01,-5.698242187500000000e-01,-2.556152343750000000e-01,1.548780487804878270e+01,-3.079268292682927211e+01,-7.780487804878049474e+01,2.133000000000000185e+01
1.700000000000000122e-01,-6.459960937500000000e-01,-5.698242187500000000e-01,-2.434082031250000000e-01,1.609756097560975618e+01,-2.768292682926829684e+01,-7.128048780487804947e+01,2.137705882352941344e+01
1.799999999999999933e-01,-6.811523437500000000e-01,-5.793457031250000000e-01,-2.626953125000000000e-01,1.664634146341463605e+01,-2.621951219512195408e+01,-6.506097560975609895e+01,2.142411764705882504e+01
1.900000000000000022e-01,-7.431640625000000000e-01,-5.839843750000000000e-01,-2.626953125000000000e-01,1.762195121951219789e+01,-2.585365853658536750e+01,-6.042682926829268553e+01,2.142411764705882504e+01
2.000000000000000111e-01,-8.027343750000000000e-01,-5.805664062500000000e-01,-2.563476562500000000e-01,1.780487804878048763e+01,-2.567073170731707421e+01,-5.774390243902439579e+01,2.137705882352941344e+01
2.099999999999999922e-01,-8.330078125000000000e-01,-5.917968750000000000e-01,-2.546386718750000000e-01,1.798780487804878092e+01,-2.591463414634146645e+01,-5.597560975609756895e+01,2.123588235294117510e+01
2.200000000000000011e-01,-8.310546875000000000e-01,-6.015625000000000000e-01,-2.822265625000000000e-01,1.920731707317073500e+01,-2.768292682926829684e+01,-5.426829268292683395e+01,2.133000000000000185e+01
2.300000000000000100e-01,-8.154296875000000000e-01,-6.071777343750000000e-01,-2.741699218750000000e-01,2.073170731707317316e+01,-2.945121951219512368e+01,-5.164634146341463605e+01,2.137705882352941344e+01
2.399999999999999911e-01,-7.849121093750000000e-01,-6.237792968750000000e-01,-2.619628906250000000e-01,2.213414634146341697e+01,-3.018292682926829684e+01,-4.792682926829268553e+01,2.133000000000000185e+01
2.500000000000000000e-01,-7.380371093750000000e-01,-6.281738281250000000e-01,-2.365722656250000000e-01,2.274390243902439224e+01,-2.841463414634146645e+01,-4.231707317073171026e+01,2.133000000000000185e+01
2.600000000000000089e-01,-7.185058593750000000e-01,-6.181640625000000000e-01,-2.243652343750000000e-01,2.219512195121951237e+01,-2.463414634146341697e+01,-3.621951219512195763e+01,2.147117647058823664e+01
2.700000000000000178e-01,-7.197265625000000000e-01,-6.042480468750000000e-01,-2.341308593750000000e-01,2.219512195121951237e+01,-2.128048780487804947e+01,-3.115853658536585513e+01,2.142411764705882504e+01
2.800000000000000266e-01,-7.607421875000000000e-01,-6.242675781250000000e-01,-2.448730468750000000e-01,2.146341463414634276e+01,-1.780487804878048763e+01,-2.713414634146341697e+01,2.133000000000000185e+01
2.899999999999999800e-01,-8.183593750000000000e-01,-6.484375000000000000e-01,-2.475585937500000000e-01,2.158536585365853711e+01,-1.628048780487804947e+01,-2.359756097560975974e+01,2.137705882352941344e+01
2.999999999999999889e-01,-8.374023437500000000e-01,-6.616210937500000000e-01,-2.556152343750000000e-01,2.219512195121951237e+01,-1.567073170731707421e+01,-2.012195121951219789e+01,2.133000000000000185e+01
3.099999999999999978e-01,-8.337402343750000000e-01,-6.821289062500000000e-01,-2.460937500000000000e-01,2.280487804878049118e+01,-1.579268292682927033e+01,-1.603658536585366079e+01,2.133000000000000185e+01
3.200000000000000067e-01,-8.051757812500000000e-01,-6.970214843750000000e-01,-2.346191406250000000e-01,2.286585365853658658e+01,-1.414634146341463605e+01,-1.079268292682926855e+01,2.137705882352941344e+01
