# time,ax,ay,az,gx,gy,gz,temperature
0.000000000000000000e+00,-7.160644531250000000e-01,-6.721191406250000000e-01,-3.256835937500000000e-01,-1.036585365853658569e+00,6.451219512195122263e+01,3.902439024390244260e+00,2.109470588235294031e+01
1.000000000000000021e-02,-6.870117187500000000e-01,-6.525878906250000000e-01,-3.310546875000000000e-01,3.597560975609756628e+00,5.445121951219512368e+01,-1.219512195121951331e-01,2.114176470588235190e+01
2.000000000000000042e-02,-6.765136718750000000e-01,-6.374511718750000000e-01,-3.261718750000000000e-01,8.048780487804878092e+00,4.390243902439024737e+01,-3.841463414634146645e+00,2.118882352941176350e+01
2.999999999999999889e-02,-6.713867187500000000e-01,-6.391601562500000000e-01,-3.303222656250000000e-01,1.182926829268292757e+01,3.353658536585366079e+01,-7.073170731707318026e+00,2.109470588235294031e+01
4.000000000000000083e-02,-6.633300781250000000e-01,-6.313476562500000000e-01,-3.232421875000000000e-01,1.432926829268292757e+01,2.402439024390244171e+01,-1.030487804878048941e+01,2.114176470588235190e+01
5.000000000000000278e-02,-6.694335937500000000e-01,-6.250000000000000000e-01,-3.239746093750000000e-01,1.628048780487804947e+01,1.524390243902439224e+01,-1.353658536585365901e+01,2.118882352941176350e+01
5.999999999999999778e-02,-6.838378906250000000e-01,-6.276855468750000000e-01,-3.227539062500000000e-01,1.762195121951219789e+01,6.890243902439024737e+00,-1.621951219512195408e+01,2.118882352941176350e+01
7.000000000000000666e-02,-7.055664062500000000e-01,-6.206054687500000000e-01,-3.156738281250000000e-01,1.878048780487804947e+01,-1.158536585365853799e+00,-1.926829268292683039e+01,2.118882352941176350e+01
8.000000000000000167e-02,-7.204589843750000000e-01,-6.169433593750000000e-01,-3.342285156250000000e-01,1.957317073170731803e+01,-8.353658536585365724e+00,-2.243902439024390461e+01,2.118882352941176350e+01
8.999999999999999667e-02,-7.316894531250000000e-01,-6.115722656250000000e-01,-3.283691406250000000e-01,2.024390243902439224e+01,-1.493902439024390461e+01,-2.554878048780487987e+01,2.114176470588235190e+01
1.000000000000000056e-01,-7.309570312500000000e-01,-6.066894531250000000e-01,-3.234863281250000000e-01,2.164634146341463605e+01,-2.128048780487804947e+01,-2.780487804878049118e+01,2.114176470588235190e+01
1.100000000000000006e-01,-7.277832031250000000e-01,-5.925292968750000000e-01,-3.403320312500000000e-01,2.347560975609756184e+01,-2.774390243902439224e+01,-3.018292682926829684e+01,2.123588235294117510e+01
1.199999999999999956e-01,-7.272949218750000000e-01,-5.974121093750000000e-01,-3.425292968750000000e-01,2.597560975609756184e+01,-3.426829268292683395e+01,-3.176829268292683039e+01,2.114176470588235190e+01
1.300000000000000044e-01,-7.265625000000000000e-01,-5.986328125000000000e-01,-3.374023437500000000e-01,2.914634146341463605e+01,-4.067073170731707421e+01,-3.243902439024390816e+01,2.114176470588235190e+01
1.400000000000000133e-01,-7.238769531250000000e-01,-5.844726562500000000e-01,-3.430175781250000000e-01,3.158536585365854066e+01,-4.615853658536585868e+01,-3.335365853658537105e+01,2.114176470588235190e+01
1.499999999999999944e-01,-7.224121093750000000e-01,-5.817871093750000000e-01,-3.364257812500000000e-01,3.408536585365853711e+01,-5.042682926829268553e+01,-3.402439024390244526e+01,2.114176470588235190e+01
