# time,ax,ay,az,gx,gy,gz,temperature
0.000000000000000000e+00,-5.590820312500000000e-01,9.570312500000000000e-02,-1.201904296875000000e+00,4.506097560975609895e+01,6.390243902439024737e+01,-1.298780487804878092e+01,2.311823529411764611e+01
1.000000000000000021e-02,-5.136718750000000000e-01,1.276855468750000000e-01,-1.120117187500000000e+00,3.951219512195122263e+01,6.445121951219512368e+01,-1.237804878048780566e+01,2.311823529411764611e+01
2.000000000000000042e-02,-4.785156250000000000e-01,1.281738281250000000e-01,-1.150634765625000000e+00,3.469512195121951237e+01,5.890243902439024737e+01,-1.280487804878048941e+01,2.321235294117646930e+01
2.999999999999999889e-02,-3.627929687500000000e-01,1.186523437500000000e-01,-1.160156250000000000e+00,3.085365853658536750e+01,4.725609756097561132e+01,-1.097560975609756184e+01,2.311823529411764611e+01
4.000000000000000083e-02,-3.137207031250000000e-01,1.132812500000000000e-01,-1.202636718750000000e+00,2.847560975609756184e+01,3.182926829268292934e+01,-6.280487804878049474e+00,2.311823529411764611e+01
5.000000000000000278e-02,-4.821777343750000000e-01,-1.171875000000000000e-02,-1.245361328125000000e+00,2.506097560975609895e+01,1.670731707317073145e+01,-2.317073170731707599e+00,2.311823529411764611e+01
5.999999999999999778e-02,-4.658203125000000000e-01,-2.270507812500000000e-02,-1.044189453125000000e+00,2.109756097560975618e+01,7.926829268292683750e+00,-2.743902439024390461e+00,2.321235294117646930e+01
7.000000000000000666e-02,-4.714355468750000000e-01,-5.444335937500000000e-02,-1.041503906250000000e+00,1.682926829268292934e+01,9.939024390243902829e+00,-4.939024390243902829e+00,2.311823529411764611e+01
8.000000000000000167e-02,-3.896484375000000000e-01,-7.446289062500000000e-02,-1.087646484375000000e+00,1.701219512195122263e+01,1.554878048780487987e+01,-4.207317073170732336e+00,2.311823529411764611e+01
8.999999999999999667e-02,-3.493652343750000000e-01,-5.200195312500000000e-02,-1.034179687500000000e+00,1.798780487804878092e+01,2.439024390243902474e+01,-2.743902439024390461e+00,2.311823529411764611e+01
