# time,ax,ay,az,gx,gy,gz,temperature
0.000000000000000000e+00,4.882812500000000000e-02,-2.619628906250000000e-01,-1.328125000000000000e+00,-1.085365853658536750e+01,-2.500000000000000000e+00,3.048780487804878536e-01,2.147117647058823664e+01
1.000000000000000021e-02,5.859375000000000000e-02,-2.631835937500000000e-01,-1.348876953125000000e+00,-1.298780487804878092e+01,-2.378048780487805214e+00,-1.707317073170731891e+00,2.156529411764705984e+01
2.000000000000000042e-02,3.491210937500000000e-02,-2.602539062500000000e-01,-1.364013671875000000e+00,-1.402439024390243993e+01,-3.780487804878049030e+00,-3.475609756097561398e+00,2.147117647058823664e+01
2.999999999999999889e-02,4.980468750000000000e-02,-2.370605468750000000e-01,-1.367919921875000000e+00,-1.323170731707317138e+01,-1.341463414634146423e+00,-4.329268292682927566e+00,2.161235294117647143e+01
4.000000000000000083e-02,4.443359375000000000e-02,-2.487792968750000000e-01,-1.355712890625000000e+00,-1.225609756097561132e+01,-1.036585365853658569e+00,-4.268292682926829507e+00,2.147117647058823664e+01
5.000000000000000278e-02,5.175781250000000000e-02,-2.399902343750000000e-01,-1.341552734375000000e+00,-1.079268292682926855e+01,7.926829268292683306e-01,-4.268292682926829507e+00,2.151823529411764824e+01
5.999999999999999778e-02,3.515625000000000000e-02,-2.336425781250000000e-01,-1.359863281250000000e+00,-1.134146341463414664e+01,3.536585365853659013e+00,-4.756097560975610428e+00,2.156529411764705984e+01
7.000000000000000666e-02,2.392578125000000000e-02,-2.390136718750000000e-01,-1.367187500000000000e+00,-1.195121951219512368e+01,5.975609756097561842e+00,-5.487804878048780921e+00,2.156529411764705984e+01
8.000000000000000167e-02,1.513671875000000000e-02,-2.211914062500000000e-01,-1.364013671875000000e+00,-1.329268292682927033e+01,8.048780487804878092e+00,-6.036585365853659013e+00,2.147117647058823664e+01
8.999999999999999667e-02,1.855468750000000000e-02,-2.172851562500000000e-01,-1.375732421875000000e+00,-1.439024390243902651e+01,1.048780487804878092e+01,-6.890243902439024737e+00,2.156529411764705984e+01
1.000000000000000056e-01,2.636718750000000000e-02,-2.102050781250000000e-01,-1.375000000000000000e+00,-1.457317073170731803e+01,1.262195121951219612e+01,-7.073170731707318026e+00,2.151823529411764824e+01
1.100000000000000006e-01,3.491210937500000000e-02,-1.992187500000000000e-01,-1.386718750000000000e+00,-1.402439024390243993e+01,1.371951219512195230e+01,-7.195121951219513257e+00,2.151823529411764824e+01
1.199999999999999956e-01,3.076171875000000000e-02,-2.370605468750000000e-01,-1.411132812500000000e+00,-1.310975609756097704e+01,1.292682926829268375e+01,-7.560975609756098059e+00,2.156529411764705984e+01
1.300000000000000044e-01,1.098632812500000000e-02,-2.868652343750000000e-01,-1.472412109375000000e+00,-1.237804878048780566e+01,9.939024390243902829e+00,-6.707317073170732336e+00,2.161235294117647143e+01
1.400000000000000133e-01,-5.371093750000000000e-03,-2.849121093750000000e-01,-1.557128906250000000e+00,-1.445121951219512368e+01,5.365853658536585691e+00,-8.536585365853659013e+00,2.147117647058823664e+01
1.499999999999999944e-01,-1.440429687500000000e-02,-3.210449218750000000e-01,-1.636230468750000000e+00,-1.963414634146341697e+01,4.878048780487805325e-01,-1.225609756097561132e+01,2.161235294117647143e+01
1.600000000000000033e-01,-1.025390625000000000e-02,-3.713378906250000000e-01,-1.729003906250000000e+00,-2.713414634146341697e+01,-3.048780487804878092e+00,-1.432926829268292757e+01,2.147117647058823664e+01
1.700000000000000122e-01,-3.466796875000000000e-02,-3.090820312500000000e-01,-1.801513671875000000e+00,-3.908536585365853711e+01,-3.048780487804878092e+00,-2.012195121951219789e+01,2.156529411764705984e+01
1.799999999999999933e-01,-1.301269531250000000e-01,-3.249511718750000000e-01,-1.870849609375000000e+00,-5.207317073170732158e+01,1.829268292682927066e-01,-2.762195121951219789e+01,2.151823529411764824e+01
1.900000000000000022e-01,-2.170410156250000000e-01,-3.059082031250000000e-01,-1.898437500000000000e+00,-6.219512195121951947e+01,5.426829268292683750e+00,-3.359756097560975974e+01,2.147117647058823664e+01
2.000000000000000111e-01,-2.502441406250000000e-01,-2.597656250000000000e-01,-1.886962890625000000e+00,-7.030487804878049474e+01,1.481707317073170849e+01,-3.798780487804878447e+01,2.142411764705882504e+01
2.099999999999999922e-01,-2.968750000000000000e-01,-2.221679687500000000e-01,-1.865722656250000000e+00,-7.548780487804879158e+01,2.609756097560975974e+01,-3.914634146341463605e+01,2.147117647058823664e+01
2.200000000000000011e-01,-3.359375000000000000e-01,-1.826171875000000000e-01,-1.879394531250000000e+00,-7.756097560975609895e+01,3.402439024390244526e+01,-3.713414634146342053e+01,2.151823529411764824e+01
2.300000000000000100e-01,-3.225097656250000000e-01,-1.313476562500000000e-01,-1.812255859375000000e+00,-8.091463414634147000e+01,4.359756097560975974e+01,-3.237804878048780921e+01,2.151823529411764824e+01
2.399999999999999911e-01,-3.413085937500000000e-01,-6.835937500000000000e-02,-1.736572265625000000e+00,-8.756097560975609895e+01,5.524390243902439579e+01,-2.475609756097561132e+01,2.156529411764705984e+01
2.500000000000000000e-01,-3.300781250000000000e-01,-2.929687500000000000e-02,-1.627441406250000000e+00,-9.500000000000001421e+01,6.530487804878049474e+01,-1.621951219512195408e+01,2.151823529411764824e+01
2.600000000000000089e-01,-2.968750000000000000e-01,5.346679687500000000e-02,-1.450927734375000000e+00,-1.039634146341463463e+02,7.908536585365854421e+01,-7.621951219512196118e+00,2.151823529411764824e+01
2.700000000000000178e-01,-2.053222656250000000e-01,1.618652343750000000e-01,-1.170898437500000000e+00,-1.090243902439024453e+02,9.804878048780489053e+01,-1.768292682926829507e+00,2.156529411764705984e+01
2.800000000000000266e-01,-1.730957031250000000e-01,1.838378906250000000e-01,-9.726562500000000000e-01,-1.087804878048780637e+02,1.167682926829268411e+02,1.646341463414634276e+00,2.161235294117647143e+01
2.899999999999999800e-01,-9.960937500000000000e-02,1.738281250000000000e-01,-9.394531250000000000e-01,-9.896341463414634632e+01,1.194512195121951379e+02,4.207317073170732336e+00,2.161235294117647143e+01
2.999999999999999889e-01,4.882812500000000000e-04,2.124023437500000000e-01,-6.425781250000000000e-01,-8.262195121951219789e+01,1.129268292682926926e+02,6.097560975609757072e-01,2.161235294117647143e+01
3.099999999999999978e-01,1.218261718750000000e-01,1.015625000000000000e-01,-6.596679687500000000e-01,-6.585365853658537105e+01,1.009146341463414700e+02,-2.560975609756097615e+00,2.151823529411764824e+01
3.200000000000000067e-01,7.543945312500000000e-02,-1.123046875000000000e-02,-5.275878906250000000e-01,-6.182926829268293289e+01,9.445121951219512368e+01,-3.170731707317073322e+00,2.142411764705882504e+01
3.300000000000000155e-01,1.499023437500000000e-01,-2.905273437500000000e-02,-4.970703125000000000e-01,-5.853658536585366079e+01,9.280487804878049474e+01,-2.682926829268292845e+00,2.151823529411764824e+01
3.400000000000000244e-01,3.261718750000000000e-01,5.859375000000000000e-03,-6.826171875000000000e-01,-4.902439024390244526e+01,7.182926829268294000e+01,9.756097560975610650e-01,2.147117647058823664e+01
3.500000000000000333e-01,4.025878906250000000e-01,1.821289062500000000e-01,-8.232421875000000000e-01,-2.371951219512195408e+01,2.432926829268292934e+01,2.317073170731707599e+00,2.156529411764705984e+01
3.599999999999999867e-01,4.648437500000000000e-01,2.185058593750000000e-01,-6.437988281250000000e-01,-4.451219512195121908e+00,-1.512195121951219612e+01,-1.890243902439024515e+00,2.156529411764705984e+01
3.699999999999999956e-01,4.460449218750000000e-01,2.065429687500000000e-01,-6.467285156250000000e-01,7.134146341463415197e+00,-3.676829268292683395e+01,-4.573170731707317138e+00,2.137705882352941344e+01
3.800000000000000044e-01,4.082031250000000000e-01,1.799316406250000000e-01,-7.104492187500000000e-01,1.792682926829268553e+01,-5.585365853658537105e+01,-7.682926829268293289e+00,2.161235294117647143e+01
3.900000000000000133e-01,7.419433593750000000e-01,3.862304687500000000e-01,-5.258789062500000000e-01,1.115853658536585513e+01,-3.774390243902439579e+01,-9.451219512195121908e+00,2.156529411764705984e+01
4.000000000000000222e-01,4.719238281250000000e-01,3.413085937500000000e-01,-5.532226562500000000e-01,3.670731707317073500e+01,-6.146341463414634632e+01,-8.048780487804878092e+00,2.151823529411764824e+01
4.100000000000000311e-01,4.702148437500000000e-01,2.224121093750000000e-01,-4.753417968750000000e-01,8.378048780487804947e+01,-8.018292682926829684e+01,1.097560975609756184e+00,2.156529411764705984e+01
4.199999999999999845e-01,3.686523437500000000e-01,2.175292968750000000e-01,-7.236328125000000000e-01,1.304878048780487916e+02,-9.829268292682927211e+01,5.548780487804878092e+00,2.151823529411764824e+01
4.299999999999999933e-01,3.276367187500000000e-01,1.821289062500000000e-01,-1.041992187500000000e+00,1.593902439024390389e+02,-1.116463414634146432e+02,6.524390243902439934e+00,2.151823529411764824e+01
4.400000000000000022e-01,5.092773437500000000e-01,1.904296875000000000e-01,-1.014160156250000000e+00,1.523170731707317316e+02,-9.006097560975609895e+01,4.878048780487805658e+00,2.161235294117647143e+01
4.500000000000000111e-01,3.811035156250000000e-01,8.862304687500000000e-02,-1.443603515625000000e+00,1.157926829268292721e+02,-9.353658536585366789e+01,-4.085365853658537105e+00,2.161235294117647143e+01
4.600000000000000200e-01,4.096679687500000000e-01,-1.049804687500000000e-01,-1.427246093750000000e+00,7.048780487804879158e+01,-1.045731707317073216e+02,-1.353658536585365901e+01,2.151823529411764824e+01
4.700000000000000289e-01,4.599609375000000000e-01,2.124023437500000000e-02,-1.382568359375000000e+00,3.097560975609756539e+01,-9.774390243902439579e+01,-2.152439024390244171e+01,2.161235294117647143e+01
4.799999999999999822e-01,4.531250000000000000e-01,7.739257812500000000e-02,-1.482177734375000000e+00,9.878048780487805658e+00,-9.152439024390244526e+01,-2.487804878048780566e+01,2.156529411764705984e+01
4.899999999999999911e-01,4.130859375000000000e-01,3.564453125000000000e-02,-1.430419921875000000e+00,6.463414634146341875e+00,-7.847560975609756895e+01,-2.829268292682927211e+01,2.151823529411764824e+01
5.000000000000000000e-01,3.596191406250000000e-01,-5.224609375000000000e-02,-1.440429687500000000e+00,9.878048780487805658e+00,-6.097560975609756895e+01,-3.530487804878048763e+01,2.151823529411764824e+01
5.100000000000000089e-01,3.247070312500000000e-01,-1.489257812500000000e-01,-1.469238281250000000e+00,1.798780487804878092e+01,-3.560975609756097526e+01,-4.707317073170732158e+01,2.151823529411764824e+01
