# time,ax,ay,az,gx,gy,gz,temperature
0.000000000000000000e+00,1.260986328125000000e+00,7.705078125000000000e-01,-6.684570312500000000e-01,1.189634146341463463e+02,2.612195121951219789e+02,1.216463414634146432e+02,2.184764705882353297e+01
1.000000000000000021e-02,1.369628906250000000e+00,7.543945312500000000e-01,-6.269531250000000000e-01,1.298780487804878021e+02,2.480487804878048905e+02,1.204878048780487916e+02,2.175352941176470623e+01
2.000000000000000042e-02,1.512939453125000000e+00,8.073730468750000000e-01,-5.791015625000000000e-01,1.368902439024390389e+02,2.372560975609756326e+02,1.248780487804878163e+02,2.189470588235294457e+01
2.999999999999999889e-02,1.614501953125000000e+00,7.785644531250000000e-01,-5.107421875000000000e-01,1.395731707317073358e+02,2.244512195121951379e+02,1.347560975609756326e+02,2.184764705882353297e+01
4.000000000000000083e-02,1.698974609375000000e+00,6.967773437500000000e-01,-4.709472656250000000e-01,1.409146341463414842e+02,2.040243902439024453e+02,1.476219512195121979e+02,2.175352941176470623e+01
5.000000000000000278e-02,1.750488281250000000e+00,6.779785156250000000e-01,-4.702148437500000000e-01,1.415853658536585442e+02,1.775000000000000284e+02,1.598780487804878305e+02,2.180058823529412138e+01
5.999999999999999778e-02,1.813720703125000000e+00,7.312011718750000000e-01,-4.665527343750000000e-01,1.393292682926829400e+02,1.538414634146341484e+02,1.687195121951219789e+02,2.194176470588235617e+01
7.000000000000000666e-02,1.926513671875000000e+00,7.802734375000000000e-01,-4.096679687500000000e-01,1.364024390243902474e+02,1.303048780487804947e+02,1.755487804878048905e+02,2.184764705882353297e+01
8.000000000000000167e-02,2.051025390625000000e+00,7.753906250000000000e-01,-3.278808593750000000e-01,1.348170731707317316e+02,1.060365853658536679e+02,1.815853658536585442e+02,2.189470588235294457e+01
8.999999999999999667e-02,2.190429687500000000e+00,7.915039062500000000e-01,-2.631835937500000000e-01,1.324390243902439011e+02,8.091463414634147000e+01,1.873170731707317316e+02,2.184764705882353297e+01
1.000000000000000056e-01,2.307861328125000000e+00,7.700195312500000000e-01,-2.009277343750000000e-01,1.296951219512195337e+02,5.060975609756098237e+01,1.919512195121951379e+02,2.184764705882353297e+01
1.100000000000000006e-01,2.391601562500000000e+00,6.999511718750000000e-01,-8.593750000000000000e-02,1.259146341463414700e+02,1.780487804878048763e+01,1.992073170731707421e+02,2.180058823529412138e+01
1.199999999999999956e-01,2.465576171875000000e+00,7.353515625000000000e-01,-6.152343750000000000e-02,1.204878048780487916e+02,-1.713414634146341697e+01,2.104268292682926926e+02,2.184764705882353297e+01
1.300000000000000044e-01,2.509277343750000000e+00,7.956542968750000000e-01,-1.708984375000000000e-03,1.103658536585365937e+02,-5.390243902439024737e+01,2.243292682926829400e+02,2.175352941176470623e+01
1.400000000000000133e-01,2.037841796875000000e+00,1.141357421875000000e+00,1.743164062500000000e-01,5.506097560975609895e+01,-1.687195121951219789e+02,2.837804878048780779e+02,2.189470588235294457e+01
1.499999999999999944e-01,1.876464843750000000e+00,1.239013671875000000e+00,1.655273437500000000e-01,4.347560975609756184e+01,-1.850609756097561274e+02,2.962195121951219789e+02,2.184764705882353297e+01
1.600000000000000033e-01,1.663330078125000000e+00,1.395019531250000000e+00,1.596679687500000000e-01,3.347560975609756184e+01,-1.950609756097561274e+02,3.064634146341463747e+02,2.194176470588235617e+01
1.700000000000000122e-01,1.461914062500000000e+00,1.430908203125000000e+00,1.347656250000000000e-01,2.463414634146341697e+01,-1.998780487804878305e+02,3.145121951219512653e+02,2.180058823529412138e+01
1.799999999999999933e-01,1.225830078125000000e+00,1.453125000000000000e+00,1.115722656250000000e-01,2.213414634146341697e+01,-2.025609756097561274e+02,3.181097560975609895e+02,2.184764705882353297e+01
1.900000000000000022e-01,1.015380859375000000e+00,1.446289062500000000e+00,7.153320312500000000e-02,2.256097560975609895e+01,-2.017073170731707421e+02,3.159756097560975832e+02,2.175352941176470623e+01
2.000000000000000111e-01,8.425292968750000000e-01,1.421386718750000000e+00,8.544921875000000000e-03,2.487804878048780566e+01,-1.965243902439024453e+02,3.082317073170731874e+02,2.180058823529412138e+01
2.099999999999999922e-01,7.248535156250000000e-01,1.379150390625000000e+00,-1.464843750000000000e-03,2.798780487804878447e+01,-1.888414634146341768e+02,2.965853658536585726e+02,2.180058823529412138e+01
