# time,ax,ay,az,gx,gy,gz,temperature
0.00000000,-0.03051758,-0.00854492,0.52661133,-48.78048780,29.81707317,-490.36585366,22.93000000
0.01000000,0.06494141,0.01879883,-2.10913086,-27.56097561,3.41463415,-487.92682927,22.83588235
0.02000000,0.06469727,0.11596680,-3.00561523,-41.28048780,3.47560976,-488.84146341,22.93000000
0.03000000,0.01367188,0.10424805,-0.37377930,-48.59756098,12.31707317,-490.79268293,22.93000000
0.04000000,0.84228516,0.52490234,0.71435547,-38.47560976,11.03658537,-489.14634146,23.02411765
0.05000000,1.36279297,1.20507812,0.28857422,-51.34146341,34.26829268,-487.56097561,22.83588235
0.06000000,0.67236328,0.65014648,-1.62548828,-45.30487805,31.58536585,-486.28048780,22.93000000
0.07000000,0.92187500,0.93164062,-1.01879883,-29.63414634,14.63414634,-486.21951220,22.83588235
0.08000000,1.18041992,1.62304688,1.82446289,-43.96341463,32.80487805,-484.45121951,22.93000000
0.09000000,0.38574219,0.52563477,-0.11791992,-52.86585366,43.78048780,-483.78048780,22.97705882
0.10000000,0.24414062,0.30517578,-1.62792969,-23.10975610,27.62195122,-482.68292683,22.97705882
0.11000000,0.53222656,1.12109375,-1.29589844,-47.01219512,44.02439024,-482.68292683,22.97705882
0.12000000,0.42846680,1.49438477,0.36816406,-42.86585366,42.50000000,-482.43902439,22.88294118
0.13000000,0.20458984,1.07739258,0.75927734,-46.76829268,45.06097561,-482.07317073,22.88294118
0.14000000,0.06103516,0.68676758,-0.53417969,-33.78048780,51.64634146,-481.46341463,22.97705882
0.15000000,0.02758789,-0.03881836,-0.45874023,-32.31707317,50.24390244,-480.12195122,22.97705882
0.16000000,0.04980469,0.76269531,-1.06054688,-27.50000000,54.02439024,-481.21951220,22.88294118
0.17000000,-0.02490234,0.52856445,-0.54077148,-43.84146341,55.54878049,-482.19512195,22.88294118
0.18000000,-0.43310547,2.25659180,0.60937500,-51.09756098,57.56097561,-482.13414634,22.97705882
0.19000000,-0.17993164,0.49365234,0.26074219,-63.47560976,55.42682927,-483.90243902,22.93000000
