# time,ax,ay,az,gx,gy,gz,temperature
0.000000000000000000e+00,3.466796875000000000e-02,-4.736328125000000000e-02,7.011718750000000000e-01,-2.012195121951219523e+00,2.439024390243902829e+00,-1.402439024390244038e+00,2.001235294117647001e+01
1.000000000000000021e-02,3.515625000000000000e-02,-4.711914062500000000e-02,7.192382812500000000e-01,-1.890243902439024515e+00,2.621951219512195230e+00,-1.341463414634146423e+00,2.001235294117647001e+01
2.000000000000000042e-02,4.077148437500000000e-02,-4.760742187500000000e-02,6.962890625000000000e-01,-1.890243902439024515e+00,2.256097560975609984e+00,-1.402439024390244038e+00,2.010647058823529676e+01
2.999999999999999889e-02,3.613281250000000000e-02,-4.492187500000000000e-02,7.128906250000000000e-01,-1.829268292682926900e+00,2.500000000000000000e+00,-1.341463414634146423e+00,2.020058823529411995e+01
4.000000000000000083e-02,3.051757812500000000e-02,-4.565429687500000000e-02,7.001953125000000000e-01,-1.829268292682926900e+00,2.317073170731707599e+00,-1.219512195121951414e+00,2.005941176470588516e+01
5.000000000000000278e-02,3.466796875000000000e-02,-4.516601562500000000e-02,7.114257812500000000e-01,-1.890243902439024515e+00,2.378048780487805214e+00,-1.280487804878048808e+00,2.005941176470588516e+01
5.999999999999999778e-02,3.540039062500000000e-02,-4.882812500000000000e-02,7.048339843750000000e-01,-2.012195121951219523e+00,2.560975609756097615e+00,-1.341463414634146423e+00,2.005941176470588516e+01
7.000000000000000666e-02,3.710937500000000000e-02,-4.760742187500000000e-02,6.997070312500000000e-01,-1.890243902439024515e+00,2.256097560975609984e+00,-1.158536585365853799e+00,2.015352941176470836e+01
8.000000000000000167e-02,3.369140625000000000e-02,-4.418945312500000000e-02,7.082519531250000000e-01,-1.829268292682926900e+00,2.378048780487805214e+00,-1.280487804878048808e+00,2.005941176470588516e+01
8.999999999999999667e-02,2.832031250000000000e-02,-4.785156250000000000e-02,7.133789062500000000e-01,-2.073170731707317138e+00,2.256097560975609984e+00,-1.097560975609756184e+00,2.005941176470588516e+01
1.000000000000000056e-01,3.588867187500000000e-02,-4.858398437500000000e-02,7.126464843750000000e-01,-1.646341463414634276e+00,2.621951219512195230e+00,-1.219512195121951414e+00,2.005941176470588516e+01
1.100000000000000006e-01,3.759765625000000000e-02,-4.052734375000000000e-02,7.070312500000000000e-01,-1.707317073170731891e+00,2.317073170731707599e+00,-1.402439024390244038e+00,2.015352941176470836e+01
1.199999999999999956e-01,4.052734375000000000e-02,-4.272460937500000000e-02,7.053222656250000000e-01,-1.829268292682926900e+00,2.439024390243902829e+00,-1.036585365853658569e+00,2.005941176470588516e+01
