# time,ax,ay,az,gx,gy,gz,temperature
0.000000000000000000e+00,-2.922363281250000000e-01,9.282226562500000000e-01,-2.141113281250000000e-01,-1.402439024390244038e+00,-2.695121951219512368e+01,5.932926829268293289e+01,2.114176470588235190e+01
1.000000000000000021e-02,-2.961425781250000000e-01,9.340820312500000000e-01,-2.128906250000000000e-01,3.780487804878049030e+00,-2.439024390243902474e+01,5.579268292682927211e+01,2.123588235294117510e+01
2.000000000000000042e-02,-2.946777343750000000e-01,9.287109375000000000e-01,-2.143554687500000000e-01,8.963414634146342763e+00,-2.024390243902439224e+01,5.152439024390244526e+01,2.118882352941176350e+01
2.999999999999999889e-02,-2.985839843750000000e-01,9.123535156250000000e-01,-2.094726562500000000e-01,1.365853658536585513e+01,-1.493902439024390461e+01,4.701219512195122263e+01,2.118882352941176350e+01
4.000000000000000083e-02,-3.027343750000000000e-01,9.133300781250000000e-01,-2.070312500000000000e-01,1.743902439024390461e+01,-8.292682926829268553e+00,4.298780487804878447e+01,2.118882352941176350e+01
5.000000000000000278e-02,-2.907714843750000000e-01,9.233398437500000000e-01,-1.967773437500000000e-01,2.134146341463414842e+01,-6.707317073170732113e-01,3.884146341463414842e+01,2.114176470588235190e+01
5.999999999999999778e-02,-2.866210937500000000e-01,9.274902343750000000e-01,-1.970214843750000000e-01,2.493902439024390461e+01,7.317073170731707599e+00,3.487804878048780921e+01,2.123588235294117510e+01
7.000000000000000666e-02,-2.712402343750000000e-01,9.130859375000000000e-01,-1.979980468750000000e-01,2.865853658536585513e+01,1.487804878048780566e+01,3.012195121951219789e+01,2.128294117647059025e+01
8.000000000000000167e-02,-2.646484375000000000e-01,9.072265625000000000e-01,-2.009277343750000000e-01,3.134146341463414842e+01,1.987804878048780566e+01,2.530487804878049118e+01,2.109470588235294031e+01
8.999999999999999667e-02,-2.453613281250000000e-01,8.930664062500000000e-01,-2.016601562500000000e-01,3.353658536585366079e+01,2.250000000000000355e+01,2.018292682926829329e+01,2.118882352941176350e+01
1.000000000000000056e-01,-2.294921875000000000e-01,8.981933593750000000e-01,-2.197265625000000000e-01,3.554878048780488342e+01,2.256097560975609895e+01,1.396341463414634276e+01,2.109470588235294031e+01
1.100000000000000006e-01,-2.341308593750000000e-01,9.074707031250000000e-01,-2.053222656250000000e-01,3.774390243902439579e+01,2.067073170731707421e+01,8.414634146341464671e+00,2.104764705882352871e+01
1.199999999999999956e-01,-2.307128906250000000e-01,8.881835937500000000e-01,-2.058105468750000000e-01,4.036585365853658658e+01,1.658536585365853711e+01,4.024390243902439046e+00,2.114176470588235190e+01
1.300000000000000044e-01,-1.872558593750000000e-01,8.793945312500000000e-01,-2.202148437500000000e-01,4.231707317073171026e+01,1.201219512195122086e+01,6.097560975609756656e-02,2.104764705882352871e+01
1.400000000000000133e-01,-1.538085937500000000e-01,8.923339843750000000e-01,-2.514648437500000000e-01,4.115853658536585868e+01,6.524390243902439934e+00,-4.146341463414634276e+00,2.114176470588235190e+01
1.499999999999999944e-01,-1.511230468750000000e-01,9.023437500000000000e-01,-2.548828125000000000e-01,3.865853658536585868e+01,8.536585365853659457e-01,-8.353658536585365724e+00,2.114176470588235190e+01
1.600000000000000033e-01,-1.345214843750000000e-01,9.060058593750000000e-01,-2.373046875000000000e-01,3.676829268292683395e+01,-3.902439024390244260e+00,-1.146341463414634276e+01,2.123588235294117510e+01
1.700000000000000122e-01,-1.242675781250000000e-01,9.143066406250000000e-01,-2.351074218750000000e-01,3.420731707317073500e+01,-8.170731707317074211e+00,-1.481707317073170849e+01,2.109470588235294031e+01
1.799999999999999933e-01,-1.110839843750000000e-01,9.045410156250000000e-01,-2.338867187500000000e-01,3.182926829268292934e+01,-1.170731707317073322e+01,-1.865853658536585513e+01,2.118882352941176350e+01
1.900000000000000022e-01,-1.152343750000000000e-01,8.852539062500000000e-01,-2.382812500000000000e-01,2.932926829268292934e+01,-1.402439024390243993e+01,-2.195121951219512368e+01,2.118882352941176350e+01
