# time,ax,ay,az,gx,gy,gz,temperature
0.000000000000000000e+00,5.954589843750000000e-01,9.094238281250000000e-01,-1.953125000000000000e-03,3.904268292682926926e+02,5.290243902439025305e+02,-1.585365853658536750e+01,2.038882352941176634e+01
1.000000000000000021e-02,6.242675781250000000e-01,7.700195312500000000e-01,-9.838867187500000000e-02,4.097560975609756611e+02,5.372560975609756042e+02,-1.414634146341463605e+01,2.038882352941176634e+01
2.000000000000000042e-02,6.230468750000000000e-01,7.856445312500000000e-01,-8.544921875000000000e-02,4.226829268292683537e+02,5.352439024390243958e+02,-1.189024390243902474e+01,2.029470588235294315e+01
2.999999999999999889e-02,7.148437500000000000e-01,7.705078125000000000e-01,-2.473144531250000000e-01,4.219512195121951663e+02,5.360975609756097811e+02,-1.060975609756097704e+01,2.024764705882353155e+01
4.000000000000000083e-02,6.940917968750000000e-01,7.524414062500000000e-01,-2.636718750000000000e-01,4.237195121951219789e+02,5.334146341463415411e+02,-1.036585365853658658e+01,2.024764705882353155e+01
5.000000000000000278e-02,7.517089843750000000e-01,8.312988281250000000e-01,-2.053222656250000000e-01,4.234146341463414842e+02,5.318902439024391242e+02,-9.817073170731708487e+00,2.024764705882353155e+01
5.999999999999999778e-02,7.236328125000000000e-01,7.812500000000000000e-01,-2.602539062500000000e-01,4.224390243902439579e+02,5.315243902439025305e+02,-9.146341463414634276e+00,2.029470588235294315e+01
7.000000000000000666e-02,7.016601562500000000e-01,7.592773437500000000e-01,-2.556152343750000000e-01,4.221951219512195621e+02,5.301219512195121979e+02,-8.902439024390243816e+00,2.034176470588235475e+01
8.000000000000000167e-02,6.777343750000000000e-01,7.272949218750000000e-01,-2.675781250000000000e-01,4.214634146341463747e+02,5.298170731707317600e+02,-8.658536585365855132e+00,2.034176470588235475e+01
8.999999999999999667e-02,6.904296875000000000e-01,7.421875000000000000e-01,-2.446289062500000000e-01,4.205487804878048905e+02,5.287804878048781347e+02,-8.170731707317074211e+00,2.020058823529411995e+01
1.000000000000000056e-01,7.160644531250000000e-01,7.819824218750000000e-01,-2.438964843750000000e-01,4.196341463414634632e+02,5.284756097560975832e+02,-7.682926829268293289e+00,2.034176470588235475e+01
1.100000000000000006e-01,7.202148437500000000e-01,7.883300781250000000e-01,-2.592773437500000000e-01,4.183536585365853853e+02,5.281707317073171453e+02,-7.195121951219513257e+00,2.034176470588235475e+01
1.199999999999999956e-01,7.170410156250000000e-01,7.858886718750000000e-01,-2.507324218750000000e-01,4.177439024390244526e+02,5.271341463414634063e+02,-6.585365853658537105e+00,2.038882352941176634e+01
1.300000000000000044e-01,7.082519531250000000e-01,7.727050781250000000e-01,-2.434082031250000000e-01,4.164024390243902758e+02,5.270731707317073642e+02,-6.036585365853659013e+00,2.020058823529411995e+01
1.400000000000000133e-01,6.899414062500000000e-01,7.458496093750000000e-01,-2.480468750000000000e-01,4.150609756097561558e+02,5.263414634146341768e+02,-5.548780487804878092e+00,2.029470588235294315e+01
1.499999999999999944e-01,6.887207031250000000e-01,7.570800781250000000e-01,-2.563476562500000000e-01,4.136585365853658800e+02,5.254268292682927495e+02,-4.939024390243902829e+00,2.034176470588235475e+01
1.600000000000000033e-01,6.979980468750000000e-01,7.768554687500000000e-01,-2.541503906250000000e-01,4.121951219512195621e+02,5.248170731707317600e+02,-4.451219512195121908e+00,2.029470588235294315e+01
1.700000000000000122e-01,7.077636718750000000e-01,7.832031250000000000e-01,-2.485351562500000000e-01,4.106097560975609895e+02,5.243902439024391242e+02,-3.597560975609756628e+00,2.020058823529411995e+01
1.799999999999999933e-01,7.070312500000000000e-01,7.878417968750000000e-01,-2.500000000000000000e-01,4.085365853658536821e+02,5.237804878048781347e+02,-3.170731707317073322e+00,2.034176470588235475e+01
1.900000000000000022e-01,6.970214843750000000e-01,7.736816406250000000e-01,-2.482910156250000000e-01,4.067073170731707705e+02,5.235975609756097811e+02,-2.439024390243902829e+00,2.029470588235294315e+01
2.000000000000000111e-01,6.906738281250000000e-01,7.722167968750000000e-01,-2.570800781250000000e-01,4.050000000000000568e+02,5.231097560975609895e+02,-2.073170731707317138e+00,2.038882352941176634e+01
2.099999999999999922e-01,6.921386718750000000e-01,7.680664062500000000e-01,-2.302246093750000000e-01,4.021341463414634632e+02,5.232317073170731874e+02,-1.646341463414634276e+00,2.029470588235294315e+01
2.200000000000000011e-01,6.867675781250000000e-01,7.607421875000000000e-01,-2.392578125000000000e-01,3.999390243902439579e+02,5.234146341463415411e+02,-1.158536585365853799e+00,2.038882352941176634e+01
2.300000000000000100e-01,6.948242187500000000e-01,7.807617187500000000e-01,-2.275390625000000000e-01,3.977439024390244526e+02,5.232317073170731874e+02,-6.097560975609757072e-01,2.029470588235294315e+01
2.399999999999999911e-01,6.997070312500000000e-01,7.880859375000000000e-01,-2.145996093750000000e-01,3.946341463414634632e+02,5.246341463414634063e+02,-1.829268292682927066e-01,2.034176470588235475e+01
2.500000000000000000e-01,6.945800781250000000e-01,7.910156250000000000e-01,-2.285156250000000000e-01,3.929878048780487916e+02,5.246951219512195621e+02,1.219512195121951331e-01,2.024764705882353155e+01
2.600000000000000089e-01,6.914062500000000000e-01,7.878417968750000000e-01,-2.504882812500000000e-01,3.904268292682926926e+02,5.257317073170731874e+02,4.268292682926829729e-01,2.034176470588235475e+01
2.700000000000000178e-01,6.774902343750000000e-01,7.717285156250000000e-01,-2.326660156250000000e-01,3.885975609756097811e+02,5.259146341463415411e+02,7.317073170731708265e-01,2.024764705882353155e+01
2.800000000000000266e-01,6.652832031250000000e-01,7.707519531250000000e-01,-2.165527343750000000e-01,3.855487804878048905e+02,5.274390243902439579e+02,7.317073170731708265e-01,2.038882352941176634e+01
2.899999999999999800e-01,6.579589843750000000e-01,7.634277343750000000e-01,-2.199707031250000000e-01,3.823170731707317600e+02,5.292073170731707705e+02,7.926829268292683306e-01,2.029470588235294315e+01
2.999999999999999889e-01,6.799316406250000000e-01,8.022460937500000000e-01,-2.172851562500000000e-01,3.778658536585365937e+02,5.310975609756097811e+02,9.146341463414634498e-01,2.029470588235294315e+01
3.099999999999999978e-01,6.770019531250000000e-01,8.029785156250000000e-01,-2.084960937500000000e-01,3.742682926829268695e+02,5.333536585365853853e+02,1.036585365853658569e+00,2.034176470588235475e+01
3.200000000000000067e-01,6.801757812500000000e-01,8.149414062500000000e-01,-2.033691406250000000e-01,3.698780487804878589e+02,5.357926829268293432e+02,1.219512195121951414e+00,2.024764705882353155e+01
3.300000000000000155e-01,6.457519531250000000e-01,7.766113281250000000e-01,-2.343750000000000000e-01,3.671341463414634632e+02,5.370121951219513221e+02,1.341463414634146423e+00,2.029470588235294315e+01
3.400000000000000244e-01,6.423339843750000000e-01,7.819824218750000000e-01,-2.145996093750000000e-01,3.630487804878048905e+02,5.390853658536585726e+02,1.280487804878048808e+00,2.034176470588235475e+01
3.500000000000000333e-01,6.291503906250000000e-01,7.993164062500000000e-01,-2.331542968750000000e-01,3.578048780487804947e+02,5.416463414634147284e+02,6.707317073170732113e-01,2.043588235294117794e+01
3.599999999999999867e-01,6.459960937500000000e-01,8.095703125000000000e-01,-2.136230468750000000e-01,3.532317073170731874e+02,5.438414634146341768e+02,3.658536585365854132e-01,2.029470588235294315e+01
3.699999999999999956e-01,6.330566406250000000e-01,8.212890625000000000e-01,-1.645507812500000000e-01,3.468902439024390674e+02,5.472560975609756042e+02,-6.097560975609756656e-02,2.034176470588235475e+01
3.800000000000000044e-01,6.333007812500000000e-01,8.205566406250000000e-01,-2.260742187500000000e-01,3.409756097560975832e+02,5.500000000000000000e+02,-4.268292682926829729e-01,2.034176470588235475e+01
3.900000000000000133e-01,6.086425781250000000e-01,8.210449218750000000e-01,-1.906738281250000000e-01,3.337804878048780779e+02,5.539024390243903326e+02,-1.097560975609756184e+00,2.029470588235294315e+01
4.000000000000000222e-01,5.739746093750000000e-01,7.902832031250000000e-01,-1.970214843750000000e-01,3.294512195121951663e+02,5.557926829268293432e+02,-1.768292682926829507e+00,2.034176470588235475e+01
4.100000000000000311e-01,5.915527343750000000e-01,8.291015625000000000e-01,-1.469726562500000000e-01,3.215853658536585726e+02,5.595731707317073642e+02,-2.743902439024390461e+00,2.024764705882353155e+01
4.199999999999999845e-01,5.969238281250000000e-01,8.659667968750000000e-01,-1.972656250000000000e-01,3.120731707317073642e+02,5.640243902439025305e+02,-3.780487804878049030e+00,2.034176470588235475e+01
4.299999999999999933e-01,5.437011718750000000e-01,8.176269531250000000e-01,-1.977539062500000000e-01,3.061585365853658800e+02,5.665853658536585726e+02,-4.817073170731707599e+00,2.043588235294117794e+01
4.400000000000000022e-01,5.651855468750000000e-01,8.654785156250000000e-01,-1.853027343750000000e-01,2.970731707317073642e+02,5.711585365853659368e+02,-6.219512195121951414e+00,2.043588235294117794e+01
4.500000000000000111e-01,4.863281250000000000e-01,7.761230468750000000e-01,-2.829589843750000000e-01,2.906097560975609895e+02,5.733536585365853853e+02,-7.378048780487805658e+00,2.034176470588235475e+01
4.600000000000000200e-01,5.202636718750000000e-01,8.615722656250000000e-01,-2.658691406250000000e-01,2.759146341463414842e+02,5.809146341463415411e+02,-9.146341463414634276e+00,2.034176470588235475e+01
4.700000000000000289e-01,4.934082031250000000e-01,8.217773437500000000e-01,-1.748046875000000000e-01,2.711585365853658800e+02,5.815853658536585726e+02,-1.060975609756097704e+01,2.043588235294117794e+01
4.799999999999999822e-01,4.846191406250000000e-01,8.833007812500000000e-01,-1.506347656250000000e-01,2.557926829268292863e+02,5.885975609756097811e+02,-1.268292682926829329e+01,2.034176470588235475e+01
4.899999999999999911e-01,4.799804687500000000e-01,8.576660156250000000e-01,-1.694335937500000000e-01,2.477439024390244242e+02,5.907926829268293432e+02,-1.414634146341463605e+01,2.034176470588235475e+01
5.000000000000000000e-01,4.587402343750000000e-01,8.830566406250000000e-01,-1.289062500000000000e-01,2.366463414634146432e+02,5.951829268292683537e+02,-1.585365853658536750e+01,2.043588235294117794e+01
5.100000000000000089e-01,4.196777343750000000e-01,8.312988281250000000e-01,-1.518554687500000000e-01,2.262195121951219789e+02,5.988414634146341768e+02,-1.792682926829268553e+01,2.034176470588235475e+01
5.200000000000000178e-01,4.477539062500000000e-01,9.321289062500000000e-01,-2.470703125000000000e-01,2.094512195121951379e+02,6.053048780487805516e+02,-2.024390243902439224e+01,2.034176470588235475e+01
5.300000000000000266e-01,3.884277343750000000e-01,8.806152343750000000e-01,-1.306152343750000000e-01,2.024390243902439295e+02,6.068902439024391242e+02,-2.189024390243902474e+01,2.034176470588235475e+01
5.400000000000000355e-01,3.854980468750000000e-01,9.877929687500000000e-01,-4.565429687500000000e-02,1.821951219512195337e+02,6.133536585365853853e+02,-2.463414634146341697e+01,2.024764705882353155e+01
5.500000000000000444e-01,3.476562500000000000e-01,8.842773437500000000e-01,3.906250000000000000e-03,1.683536585365853853e+02,6.184756097560975832e+02,-2.628048780487804947e+01,2.034176470588235475e+01
5.600000000000000533e-01,3.217773437500000000e-01,9.238281250000000000e-01,-1.103515625000000000e-01,1.586585365853658800e+02,6.196951219512195621e+02,-2.878048780487805303e+01,2.034176470588235475e+01
5.700000000000000622e-01,3.078613281250000000e-01,9.545898437500000000e-01,-2.023925781250000000e-01,1.355487804878048905e+02,6.270731707317073642e+02,-3.115853658536585513e+01,2.024764705882353155e+01
5.799999999999999600e-01,2.751464843750000000e-01,9.042968750000000000e-01,-1.906738281250000000e-01,1.280487804878048905e+02,6.273780487804879158e+02,-3.310975609756097526e+01,2.034176470588235475e+01
5.899999999999999689e-01,2.661132812500000000e-01,9.819335937500000000e-01,-1.789550781250000000e-01,1.056707317073170884e+02,6.321951219512195621e+02,-3.567073170731707421e+01,2.034176470588235475e+01
