# time,ax,ay,az,gx,gy,gz,temperature
0.00000000,0.03759766,-0.00830078,0.74926758,-1.09756098,4.32926829,-62.31707317,20.15352941
0.01000000,0.04174805,-0.02099609,0.68554688,-0.48780488,3.65853659,-62.25609756,20.05941176
0.02000000,0.04565430,-0.03125000,0.65771484,-0.67073171,4.39024390,-61.89024390,20.15352941
0.03000000,0.03881836,-0.00781250,0.70214844,-2.98780488,3.65853659,-62.01219512,20.10647059
0.04000000,0.04565430,-0.01367188,0.71215820,-0.30487805,4.08536585,-61.76829268,20.01235294
0.05000000,0.04223633,-0.01684570,0.72363281,-1.64634146,3.71951220,-61.76829268,20.10647059
0.06000000,0.04296875,-0.01440430,0.70898438,-0.91463415,3.84146341,-61.76829268,20.10647059
0.07000000,0.03320312,-0.01733398,0.70117188,-1.21951220,3.84146341,-61.70731707,20.10647059
0.08000000,0.04174805,-0.01171875,0.70971680,-1.28048780,3.65853659,-61.40243902,20.15352941
0.09000000,0.03491211,-0.01147461,0.69360352,-0.85365854,3.90243902,-61.52439024,20.01235294
0.10000000,0.03442383,-0.01562500,0.72192383,-1.52439024,3.78048780,-61.46341463,20.10647059
0.11000000,0.03686523,-0.01538086,0.71630859,-0.60975610,4.08536585,-61.21951220,20.05941176
0.12000000,0.04101562,-0.01318359,0.70898438,-1.15853659,4.14634146,-61.21951220,20.10647059
0.13000000,0.03515625,-0.02050781,0.72631836,-0.97560976,3.90243902,-61.09756098,20.10647059
0.14000000,0.03979492,-0.01611328,0.71435547,-0.85365854,4.14634146,-61.15853659,20.05941176
0.15000000,0.03930664,-0.01074219,0.70898438,-0.73170732,4.08536585,-60.85365854,20.01235294
0.16000000,0.03564453,-0.02636719,0.69213867,-0.54878049,3.96341463,-60.79268293,20.10647059
0.17000000,0.03540039,-0.00439453,0.70996094,-0.85365854,4.02439024,-60.91463415,20.20058824
0.18000000,0.04077148,-0.02001953,0.72558594,-0.54878049,3.78048780,-60.67073171,20.05941176
0.19000000,0.04052734,-0.01708984,0.71484375,-0.18292683,4.02439024,-60.73170732,20.05941176
0.20000000,0.04174805,-0.02319336,0.68627930,-0.91463415,4.02439024,-60.54878049,20.01235294
0.21000000,0.03051758,-0.01586914,0.71337891,-0.91463415,3.65853659,-60.42682927,20.15352941
0.22000000,0.03881836,-0.01831055,0.70166016,-0.60975610,4.02439024,-60.48780488,20.05941176
0.23000000,0.02905273,-0.01684570,0.69213867,-0.85365854,3.90243902,-60.12195122,20.10647059
0.24000000,0.03637695,-0.01171875,0.70996094,-0.85365854,4.02439024,-60.00000000,20.05941176
0.25000000,0.03125000,-0.01684570,0.71508789,-1.09756098,4.14634146,-59.93902439,20.05941176
0.26000000,0.03491211,-0.02514648,0.70410156,-0.97560976,4.32926829,-59.75609756,20.10647059
0.27000000,0.02587891,-0.01562500,0.69628906,-1.28048780,4.14634146,-59.69512195,20.15352941
0.28000000,0.03247070,-0.01513672,0.70874023,-0.97560976,4.26829268,-59.57317073,20.15352941
0.29000000,0.03295898,-0.01953125,0.71386719,-1.52439024,4.39024390,-59.45121951,20.10647059
