# time,ax,ay,az,gx,gy,gz,temperature
0.00000000,0.22705078,0.19628906,-1.10644531,-10.06097561,-15.00000000,-24.32926829,21.04764706
0.01000000,0.26879883,0.27270508,-1.10815430,-13.90243902,-14.69512195,-21.34146341,21.00058824
0.02000000,0.22119141,0.27880859,-1.28613281,-15.91463415,-22.43902439,-16.34146341,21.09470588
0.03000000,0.13208008,0.21728516,-1.53198242,-18.96341463,-36.82926829,-6.09756098,21.04764706
0.04000000,0.02001953,0.26318359,-1.42944336,-26.52439024,-49.81707317,0.30487805,21.04764706
0.05000000,0.06494141,0.32373047,-1.25366211,-36.89024390,-55.48780488,2.37804878,21.18882353
0.06000000,0.06396484,0.32788086,-1.08813477,-42.07317073,-51.21951220,3.53658537,21.09470588
0.07000000,0.10351562,0.31713867,-1.01684570,-42.31707317,-39.26829268,5.67073171,21.09470588
0.08000000,0.11743164,0.30249023,-0.97631836,-39.63414634,-22.80487805,11.82926829,21.00058824
0.09000000,0.13842773,0.27636719,-0.98120117,-35.85365854,-5.91463415,23.17073171,21.09470588
0.10000000,0.11425781,0.29492188,-1.06542969,-32.68292683,6.95121951,35.60975610,21.18882353
0.11000000,0.07690430,0.33251953,-1.16967773,-30.36585366,16.82926829,47.43902439,21.09470588
0.12000000,0.16870117,0.43310547,-1.26757812,-27.98780488,23.90243902,56.28048780,21.18882353
0.13000000,0.19335938,0.47412109,-1.39819336,-27.13414634,23.53658537,57.50000000,21.09470588
0.14000000,0.17797852,0.45214844,-1.55053711,-23.35365854,22.86585366,56.70731707,21.09470588
0.15000000,0.18750000,0.39990234,-1.55004883,-19.32926829,23.10975610,55.48780488,21.14176471
0.16000000,0.16772461,0.43408203,-1.42529297,-17.98780488,21.34146341,53.71951220,21.09470588
0.17000000,0.11889648,0.43310547,-1.44433594,-17.50000000,18.41463415,50.54878049,21.09470588
0.18000000,0.09326172,0.46948242,-1.50537109,-16.82926829,15.18292683,46.09756098,21.04764706
0.19000000,0.11376953,0.53271484,-1.55786133,-14.51219512,12.37804878,41.34146341,21.09470588
0.20000000,0.13916016,0.59716797,-1.52221680,-10.73170732,10.12195122,36.46341463,21.09470588
0.21000000,0.17651367,0.66528320,-1.49218750,-6.15853659,7.56097561,32.31707317,21.09470588
0.22000000,0.19677734,0.72241211,-1.46386719,0.24390244,6.40243902,29.39024390,21.09470588
0.23000000,0.20141602,0.74926758,-1.50781250,10.85365854,6.21951220,27.68292683,21.09470588
0.24000000,0.18701172,0.73242188,-1.49438477,21.46341463,5.54878049,26.40243902,21.04764706
0.25000000,0.20654297,0.69042969,-1.47924805,27.92682927,4.93902439,25.00000000,21.09470588
0.26000000,0.22143555,0.62597656,-1.46606445,31.89024390,3.71951220,23.41463415,21.09470588
0.27000000,0.24145508,0.57812500,-1.43261719,33.04878049,2.13414634,22.74390244,21.09470588
0.28000000,0.24145508,0.52734375,-1.40893555,31.70731707,1.15853659,22.86585366,21.09470588
0.29000000,0.24975586,0.48364258,-1.37866211,29.20731707,0.36585366,22.74390244,21.00058824
0.30000000,0.23803711,0.45678711,-1.34692383,26.03658537,-0.12195122,22.74390244,21.18882353
0.31000000,0.21850586,0.45385742,-1.32763672,23.41463415,-0.67073171,23.17073171,21.14176471
0.32000000,0.19140625,0.46386719,-1.31542969,22.07317073,-1.03658537,24.08536585,21.00058824
0.33000000,0.15039062,0.45434570,-1.24804688,22.86585366,0.42682927,25.54878049,21.09470588
0.34000000,0.14086914,0.43945312,-1.20800781,24.81707317,2.86585366,27.37804878,21.09470588
0.35000000,0.13354492,0.43041992,-1.16674805,26.28048780,5.91463415,29.81707317,21.09470588
0.36000000,0.12231445,0.40307617,-1.14550781,27.56097561,9.26829268,32.01219512,20.95352941
0.37000000,0.13818359,0.36254883,-1.12304688,27.86585366,11.89024390,33.65853659,21.09470588
0.38000000,0.16577148,0.31689453,-1.06982422,26.21951220,14.32926829,34.20731707,21.00058824
0.39000000,0.20507812,0.26831055,-1.05175781,22.01219512,16.21951220,34.02439024,21.14176471
0.40000000,0.22631836,0.23266602,-1.02807617,16.09756098,16.52439024,33.65853659,21.09470588
0.41000000,0.22998047,0.19409180,-1.01806641,7.80487805,16.34146341,32.80487805,21.09470588
0.42000000,0.22412109,0.17675781,-1.03344727,-0.73170732,15.54878049,30.97560976,21.09470588
0.43000000,0.22070312,0.18579102,-1.02709961,-7.37804878,15.06097561,28.47560976,21.09470588
0.44000000,0.21191406,0.21679688,-1.02709961,-11.76829268,14.63414634,25.79268293,21.18882353
0.45000000,0.18896484,0.22973633,-1.03222656,-14.39024390,15.54878049,24.02439024,21.09470588
0.46000000,0.17651367,0.24829102,-1.04101562,-15.54878049,16.89024390,22.98780488,21.18882353
0.47000000,0.16308594,0.25634766,-1.06494141,-16.40243902,18.35365854,22.56097561,21.09470588
0.48000000,0.16674805,0.25439453,-1.08154297,-17.37804878,20.00000000,22.25609756,21.04764706
0.49000000,0.17285156,0.24291992,-1.08569336,-18.04878049,22.07317073,21.76829268,21.09470588
0.50000000,0.18774414,0.22851562,-1.10351562,-19.26829268,23.90243902,21.09756098,21.09470588
0.51000000,0.22900391,0.22998047,-1.13037109,-21.95121951,24.63414634,20.85365854,21.14176471
0.52000000,0.27343750,0.24145508,-1.16918945,-24.45121951,25.00000000,20.48780488,21.09470588
0.53000000,0.29370117,0.26440430,-1.21655273,-28.10975610,24.20731707,20.30487805,21.09470588
0.54000000,0.32006836,0.32202148,-1.27246094,-32.80487805,22.92682927,20.85365854,21.18882353
0.55000000,0.35229492,0.38061523,-1.34033203,-35.30487805,21.89024390,21.28048780,21.09470588
0.56000000,0.38354492,0.46093750,-1.41406250,-35.06097561,20.79268293,21.40243902,21.09470588
0.57000000,0.40942383,0.54443359,-1.51757812,-32.07317073,20.73170732,21.46341463,21.14176471
0.58000000,0.42138672,0.60034180,-1.58325195,-28.59756098,21.28048780,21.46341463,21.18882353
0.59000000,0.43969727,0.63354492,-1.67651367,-23.78048780,21.95121951,20.79268293,21.09470588
0.60000000,0.46362305,0.67163086,-1.84765625,-18.71951220,22.80487805,18.04878049,21.09470588
0.61000000,0.52148438,0.71020508,-1.97631836,-14.57317073,21.46341463,14.20731707,21.09470588
0.62000000,0.59692383,0.77807617,-2.11645508,-9.87804878,17.07317073,8.71951220,21.09470588
0.63000000,0.72119141,0.87182617,-2.26049805,-3.29268293,8.53658537,2.31707317,21.14176471
0.64000000,0.82299805,0.95654297,-2.35083008,4.93902439,-1.28048780,-1.64634146,21.04764706
0.65000000,0.84204102,1.04931641,-2.42187500,15.42682927,-12.01219512,-2.74390244,21.09470588
0.66000000,0.81250000,1.14916992,-2.50732422,27.62195122,-22.07317073,-1.09756098,21.09470588
0.67000000,0.79272461,1.22973633,-2.60595703,41.95121951,-29.81707317,0.48780488,21.09470588
0.68000000,0.73461914,1.31640625,-2.71704102,61.40243902,-37.37804878,2.31707317,21.00058824
0.69000000,0.73974609,1.42626953,-2.84716797,85.48780488,-46.34146341,2.80487805,21.18882353
0.70000000,0.83105469,1.54711914,-2.97827148,111.09756098,-55.06097561,0.67073171,21.04764706
0.71000000,0.95898438,1.67822266,-3.06811523,142.74390244,-66.64634146,-9.14634146,21.09470588
0.72000000,1.09887695,1.82836914,-3.08520508,176.95121951,-83.29268293,-36.52439024,21.09470588
0.73000000,1.18847656,2.00146484,-3.06396484,208.47560976,-99.45121951,-84.93902439,21.09470588
0.74000000,1.23388672,2.29516602,-3.05932617,244.32926829,-119.51219512,-176.89024390,21.09470588
0.75000000,1.14648438,2.45214844,-3.00683594,295.00000000,-146.46341463,-336.46341463,21.04764706
0.76000000,0.81860352,2.03076172,-2.94848633,347.01219512,-184.08536585,-534.02439024,21.04764706
0.77000000,0.22680664,0.89721680,-2.94799805,371.09756098,-237.37804878,-796.89024390,21.14176471
0.78000000,-0.20703125,-1.03808594,-3.68774414,313.65853659,-277.86585366,-1127.62195122,21.14176471
0.79000000,-0.33569336,-3.04882812,-2.59960938,223.59756098,-242.19512195,-1503.47560976,21.14176471
0.80000000,0.44726562,-3.96972656,-0.23901367,100.97560976,-166.58536585,-1804.32926829,21.04764706
0.81000000,-0.10986328,-0.15649414,-0.08764648,29.45121951,-162.13414634,-1839.51219512,21.09470588
