# time,ax,ay,az,gx,gy,gz,temperature
0.00000000,0.87622070,-0.01464844,-0.51831055,5.12195122,-19.14634146,58.96341463,23.40058824
0.01000000,0.88867188,0.03344727,-0.56445312,5.54878049,1.34146341,64.57317073,23.40058824
0.02000000,0.87524414,0.07934570,-0.49267578,6.46341463,22.13414634,68.71951220,23.35352941
0.03000000,0.89624023,0.04101562,-0.43798828,11.52439024,36.52439024,68.96341463,23.40058824
0.04000000,1.04028320,0.00854492,-0.39868164,18.90243902,42.56097561,67.01219512,23.49470588
0.05000000,1.15771484,-0.07202148,-0.32055664,30.36585366,40.30487805,64.02439024,23.40058824
0.06000000,1.20922852,-0.08642578,-0.31298828,42.56097561,33.23170732,57.92682927,23.44764706
0.07000000,1.23413086,-0.07983398,-0.36425781,52.92682927,29.87804878,49.32926829,23.49470588
0.08000000,1.24584961,-0.08154297,-0.43188477,61.52439024,35.06097561,39.08536585,23.40058824
0.09000000,1.24877930,-0.08642578,-0.44433594,65.30487805,43.47560976,30.54878049,23.44764706
0.10000000,1.22265625,-0.14013672,-0.48315430,64.32926829,49.39024390,22.37804878,23.35352941
0.11000000,1.19628906,-0.16064453,-0.53002930,59.93902439,50.97560976,16.09756098,23.35352941
0.12000000,1.18481445,-0.17553711,-0.57128906,54.32926829,50.79268293,10.18292683,23.35352941
0.13000000,1.16967773,-0.17431641,-0.60253906,48.96341463,52.01219512,5.00000000,23.35352941
0.14000000,1.14160156,-0.17480469,-0.60449219,42.25609756,55.97560976,-0.36585366,23.40058824
0.15000000,1.08154297,-0.15820312,-0.56542969,33.41463415,55.06097561,-5.18292683,23.35352941
0.16000000,0.80664062,-0.10180664,-0.39746094,20.60975610,39.26829268,-9.26829268,23.44764706
0.17000000,0.90405273,-0.16259766,-0.53564453,10.36585366,8.53658537,-6.76829268,23.35352941
0.18000000,0.90209961,-0.13256836,-0.46728516,2.86585366,10.24390244,1.34146341,23.40058824
0.19000000,1.01513672,-0.12866211,-0.34985352,-8.78048780,14.87804878,7.74390244,23.40058824
0.20000000,1.08251953,-0.10449219,-0.27758789,-15.00000000,20.42682927,12.37804878,23.49470588
0.21000000,1.11206055,-0.10229492,-0.23754883,-16.34146341,29.08536585,14.57317073,23.49470588
0.22000000,1.21289062,-0.13989258,-0.22216797,-15.42682927,37.37804878,17.13414634,23.40058824
0.23000000,1.21240234,-0.21630859,-0.25585938,-20.85365854,46.34146341,20.18292683,23.35352941
0.24000000,1.19726562,-0.23266602,-0.18505859,-30.54878049,51.03658537,25.18292683,23.25941176
0.25000000,1.18408203,-0.26904297,-0.17626953,-34.81707317,55.12195122,30.00000000,23.44764706
0.26000000,1.11572266,-0.15454102,-0.22656250,-38.84146341,54.87804878,32.62195122,23.35352941
0.27000000,1.19042969,-0.18896484,-0.17138672,-42.74390244,55.79268293,33.53658537,23.35352941
0.28000000,1.25439453,-0.23535156,-0.20043945,-52.31707317,57.37804878,33.84146341,23.40058824
0.29000000,1.22729492,-0.17529297,-0.17431641,-62.50000000,64.14634146,30.12195122,23.40058824
0.30000000,1.20458984,-0.12377930,-0.16528320,-75.30487805,73.23170732,24.08536585,23.40058824
0.31000000,1.17309570,-0.12500000,-0.15039062,-85.60975610,87.50000000,15.36585366,23.40058824
0.32000000,1.18725586,-0.10327148,-0.16040039,-92.62195122,98.59756098,4.69512195,23.40058824
0.33000000,1.16894531,-0.10205078,-0.11669922,-93.78048780,102.98780488,-5.79268293,23.40058824
